,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
30,500000.0,4 bedroom semi-detached house for sale,"Whitesmocks, Durham, DH1",http://www.rightmove.co.uk/properties/120176435#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Durham-City-30221.html,DH1,4.0,2022-02-19 23:43:34.882786
31,499950.0,4 bedroom terraced house for sale,"Hallgarth Street, Durham, DH1",http://www.rightmove.co.uk/properties/113508188#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bradley-Hall-Chartered-Surveyors-and-Estate-Agents/Durham-45311.html,DH1,4.0,2022-02-19 23:43:34.882786
32,475000.0,5 bedroom detached house for sale,"Pebblecroft, 62 Pit House Lane, Leamside, Houghton Le Spring",http://www.rightmove.co.uk/properties/106007213#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/HandH-Land-and-Estates/Penrith-149141.html,,5.0,2022-02-19 23:43:34.882786
33,470000.0,5 bedroom detached house for sale,"Station Road, Meadowfield",http://www.rightmove.co.uk/properties/115715057#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Northgate-Estate-Agents-and-Property-Management/Newton-Aycliffe-100837.html,,5.0,2022-02-19 23:43:34.882786
34,460000.0,5 bedroom detached house for sale,"St. Johns Road, Durham, DH1",http://www.rightmove.co.uk/properties/113964830#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Elvet-Estates/Durham-126403.html,DH1,5.0,2022-02-19 23:43:34.882786
35,450000.0,3 bedroom bungalow for sale,"Dunholme Close, Aykley Heads, Durham, DH1",http://www.rightmove.co.uk/properties/107317280#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ben-Charles/Durham-83492.html,DH1,3.0,2022-02-19 23:43:34.882786
36,450000.0,4 bedroom detached house for sale,"Witton Grove, Durham, Durham, DH1",http://www.rightmove.co.uk/properties/73614393#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains/Durham-City-30221.html,DH1,4.0,2022-02-19 23:43:34.882786
37,450000.0,4 bedroom terraced house for sale,"The Village, Brancepeth Village, Durham, DH7",http://www.rightmove.co.uk/properties/116600345#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH7,4.0,2022-02-19 23:43:34.882786
38,450000.0,5 bedroom terraced house for sale,"Laburnum Avenue, Durham, DH1",http://www.rightmove.co.uk/properties/79624107#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Elvet-Estates/Durham-126403.html,DH1,5.0,2022-02-19 23:43:34.882786
39,450000.0,4 bedroom semi-detached house for sale,"Fieldhouse Lane, North End",http://www.rightmove.co.uk/properties/120158228#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Rise-Sales-and-Lettings/Durham-63445.html,,4.0,2022-02-19 23:43:34.882786
